"entrez.id;""gene.symbols"";""type.of.regulators"""
"10379;""IRF9"";""TF"""
"10389;""SCML2"";""TF"""
"10463;""SLC30A9"";""TF"""
"10472;""ZBTB18"";""TF"""
"10474;""TADA3"";""TF"""
"10481;""HOXB13"";""TF"""
"10488;""CREB3"";""TF"""
"10538;""BATF"";""TF"""
"10589;""DRAP1"";""TF"""
"10616;""RBCK1"";""TF"""
"10655;""DMRT2"";""TF"""
"10660;""LBX1"";""TF"""
"10661;""KLF1"";""TF"""
"10664;""CTCF"";""TF"""
"10691;""GMEB1"";""TF"""
"10716;""TBR1"";""TF"""
"10725;""NFAT5"";""TF"""
"10732;""TCFL5"";""TF"""
"10736;""SIX2"";""TF"""
"10745;""PHTF1"";""TF"""
"10765;""KDM5B"";""TF"""
"10782;""ZNF274"";""TF"""
"10795;""ZNF268"";""TF"""
"10902;""BRD8"";""TF"""
"10943;""MSL3"";""TF"""
"11016;""ATF7"";""TF"""
"11023;""VAX1"";""TF"""
"11063;""SOX30"";""TF"""
"11143;""KAT7"";""TF"""
"11166;""SOX21"";""TF"""
"11178;""LZTS1"";""TF"""
"11244;""ZHX1"";""TF"""
"11262;""SP140"";""TF"""
"11278;""KLF12"";""TF"""
"11281;""POU6F2"";""TF"""
"11317;""RBPJL"";""TF"""
"22797;""TFEC"";""TF"""
"22806;""IKZF3"";""TF"""
"22809;""ATF5"";""TF"""
"22850;""ADNP2"";""TF"""
"22882;""ZHX2"";""TF"""
"22887;""FOXJ3"";""TF"""
"22921;""MSRB2"";""TF"""
"22926;""ATF6"";""TF"""
"22947;""DUX4L1"";""TF"""
"22955;""SCMH1"";""TF"""
"22980;""TCF25"";""TF"""
"23013;""SPEN"";""TF"""
"23028;""KDM1A"";""TF"""
"23040;""MYT1L"";""TF"""
"23051;""ZHX3"";""TF"""
"23269;""MGA"";""TF"""
"23314;""SATB2"";""TF"""
"23316;""CUX2"";""TF"""
"23394;""ADNP"";""TF"""
"23435;""TARDBP"";""TF"""
"23440;""OTP"";""TF"""
"23462;""HEY1"";""TF"""
"23493;""HEY2"";""TF"""
"23528;""ZNF281"";""TF"""
"23650;""TRIM29"";""TF"""
"23660;""ZKSCAN5"";""TF"""
"23764;""MAFF"";""TF"""
"25803;""SPDEF"";""TF"""
"25806;""VAX2"";""TF"""
"25819;""NOCT"";""TF"""
"25833;""POU2F3"";""TF"""
"25909;""AHCTF1"";""TF"""
"25942;""SIN3A"";""TF"""
"25988;""HINFP"";""TF"""
"26013;""L3MBTL1"";""TF"""
"26048;""ZNF500"";""TF"""
"26257;""NKX2-8"";""TF"""
"26298;""EHF"";""TF"""
"26468;""LHX6"";""TF"""
"26508;""HEYL"";""TF"""
"26574;""AATF"";""TF"""
"26581;""DUX5"";""TF"""
"26582;""DUX3"";""TF"""
"26583;""DUX4L8"";""TF"""
"26584;""DUX1"";""TF"""
"27022;""FOXD3"";""TF"""
"27086;""FOXP1"";""TF"""
"27097;""TAF5L"";""TF"""
"27125;""AFF4"";""TF"""
"27287;""VENTX"";""TF"""
"27319;""BHLHE22"";""TF"""
"29128;""UHRF1"";""TF"""
"29842;""TFCP2L1"";""TF"""
"29855;""UBN1"";""TF"""
"29883;""CNOT7"";""TF"""
"29956;""CERS2"";""TF"""
"29966;""STRN3"";""TF"""
"30009;""TBX21"";""TF"""
"30012;""TLX3"";""TF"""
"30062;""RAX"";""TF"""
"30812;""SOX8"";""TF"""
"30813;""VSX1"";""TF"""
"50805;""IRX4"";""TF"""
"50943;""FOXP3"";""TF"""
"50945;""TBX22"";""TF"""
"51085;""MLXIPL"";""TF"""
"51176;""LEF1"";""TF"""
"51193;""ZNF639"";""TF"""
"51222;""ZNF219"";""TF"""
"51270;""TFDP3"";""TF"""
"51274;""KLF3"";""TF"""
"51282;""SCAND1"";""TF"""
"51295;""ECSIT"";""TF"""
"51351;""ZNF117"";""TF"""
"51450;""PRRX2"";""TF"""
"51513;""ETV7"";""TF"""
"51804;""SIX4"";""TF"""
"54581;""SCAND2P"";""TF"""
"54729;""NKX1-1"";""TF"""
"54738;""FEV"";""TF"""
"54815;""GATAD2A"";""TF"""
"54925;""ZSCAN32"";""TF"""
"54989;""ZNF770"";""TF"""
"54993;""ZSCAN2"";""TF"""
"55294;""FBXW7"";""TF"""
"55311;""ZNF444"";""TF"""
"55502;""HES6"";""TF"""
"55509;""BATF3"";""TF"""
"55553;""SOX6"";""TF"""
"55663;""ZNF446"";""TF"""
"55806;""HR"";""TF"""
"55809;""TRERF1"";""TF"""
"55810;""FOXJ2"";""TF"""
"55818;""KDM3A"";""TF"""
"55888;""ZKSCAN7"";""TF"""
"55892;""MYNN"";""TF"""
"55897;""MESP1"";""TF"""
"56033;""BARX1"";""TF"""
"56731;""SLC2A4RG"";""TF"""
"56938;""ARNTL2"";""TF"""
"56956;""LHX9"";""TF"""
"56995;""TULP4"";""TF"""
"57057;""TBX20"";""TF"""
"57109;""REXO4"";""TF"""
"57336;""ZNF287"";""TF"""
"57459;""GATAD2B"";""TF"""
"57496;""MKL2"";""TF"""
"57504;""MTA3"";""TF"""
"57591;""MKL1"";""TF"""
"57594;""HOMEZ"";""TF"""
"57616;""TSHZ3"";""TF"""
"57798;""GATAD1"";""TF"""
"57822;""GRHL3"";""TF"""
"58487;""CREBZF"";""TF"""
"58495;""OVOL2"";""TF"""
"58524;""DMRT3"";""TF"""
"60313;""GPBP1L1"";""TF"""
"60436;""TGIF2"";""TF"""
"60468;""BACH2"";""TF"""
"60529;""ALX4"";""TF"""
"63876;""PKNOX2"";""TF"""
"63946;""DMRTC2"";""TF"""
"63948;""DMRTB1"";""TF"""
"63950;""DMRTA2"";""TF"""
"63951;""DMRTA1"";""TF"""
"64211;""LHX5"";""TF"""
"64288;""ZSCAN31"";""TF"""
"64344;""HIF3A"";""TF"""
"64375;""IKZF4"";""TF"""
"64651;""CSRNP1"";""TF"""
"64764;""CREB3L2"";""TF"""
"64843;""ISL2"";""TF"""
"65056;""GPBP1"";""TF"""
"65243;""ZFP69B"";""TF"""
"65982;""ZSCAN18"";""TF"""
"79149;""ZSCAN5A"";""TF"""
"79177;""ZNF576"";""TF"""
"79190;""IRX6"";""TF"""
"79191;""IRX3"";""TF"""
"79192;""IRX1"";""TF"""
"79364;""ZXDC"";""TF"""
"79603;""CERS4"";""TF"""
"79618;""HMBOX1"";""TF"""
"79733;""E2F8"";""TF"""
"79776;""ZFHX4"";""TF"""
"79800;""CARF"";""TF"""
"79923;""NANOG"";""TF"""
"80034;""CSRNP3"";""TF"""
"80317;""ZKSCAN3"";""TF"""
"80345;""ZSCAN16"";""TF"""
"80712;""ESX1"";""TF"""
"80714;""PBX4"";""TF"""
"81566;""CSRNP2"";""TF"""
"81628;""TSC22D4"";""TF"""
"81931;""ZNF93"";""TF"""
"83439;""TCF7L1"";""TF"""
"83482;""SCRT1"";""TF"""
"83595;""SOX7"";""TF"""
"83741;""TFAP2D"";""TF"""
"83855;""KLF16"";""TF"""
"84108;""PCGF6"";""TF"""
"84124;""ZNF394"";""TF"""
"84307;""ZNF397"";""TF"""
"84458;""LCOR"";""TF"""
"84504;""NKX6-2"";""TF"""
"84524;""ZC3H8"";""TF"""
"84525;""HOPX"";""TF"""
"84528;""RHOXF2"";""TF"""
"84547;""PGBD1"";""TF"""
"84619;""ZGPAT"";""TF"""
"84699;""CREB3L3"";""TF"""
"84838;""ZNF496"";""TF"""
